customer_id,first_name,last_name,email,address,join_date
1,Debbie,Cross,oevans@example.com,"PSC 1038, Box 4849, APO AA 18325",2025-03-20
2,Ian,Perry,sharpbrittany@example.net,"515 Moore Plains, West Natalie, MA 57044",2024-07-27
3,Jeremy,Smith,hreynolds@example.com,"2159 Armstrong Branch, Catherineberg, AL 81750",2025-01-15
4,Brenda,Christensen,wlarson@example.org,"501 Johnston Junctions, West Danielton, FL 89885",2024-08-06
5,Sarah,Butler,jonathan25@example.org,"1351 John Well, Port Jillian, LA 67662",2025-01-17
6,Steven,Ross,thompsonjonathan@example.org,"Unit 5121 Box 4707, DPO AE 36743",2023-08-05
7,Michael,Dougherty,philip72@example.org,"424 Charles Gateway, Melissamouth, GA 56951",2024-04-12
8,Evan,Weaver,ogarcia@example.net,"USS Hughes, FPO AE 70142",2024-10-03
9,Dustin,Jackson,wbarron@example.org,"134 Campos Extensions, South Anthonyborough, NC 48533",2024-09-02
10,Ashley,Hill,nancyfranco@example.com,"Unit 8509 Box 6673, DPO AE 62631",2024-09-25
11,Robert,Doyle,birdangela@example.com,"82424 Monica Fall, Leroyville, ME 11342",2024-12-30
12,Sharon,Burgess,zachary10@example.org,"71138 Smith Centers Suite 854, Brookemouth, VT 77911",2024-12-28
13,Andrew,Collier,usherman@example.net,"300 Rodriguez Forest Apt. 955, Ashleyburgh, OK 59231",2023-07-21
14,Angela,Torres,christophershannon@example.net,"8868 Sharon Mills, Port Stephaniestad, IN 84376",2024-06-29
15,Jay,Huynh,pchapman@example.org,"7464 Kyle Ramp Suite 140, Hernandezchester, WY 49535",2023-09-07
16,Lynn,Allen,ashleemann@example.org,"PSC 1482, Box 9228, APO AE 11843",2023-12-20
17,Joseph,Gaines,jordanamanda@example.net,"306 Carey Fall Apt. 302, Stevenborough, MS 68543",2024-09-25
18,Stephen,Reed,htaylor@example.net,"59044 Robert Points Apt. 691, Cynthiafort, IA 01706",2025-04-19
19,Stacey,Martin,vvargas@example.net,"070 Garcia Greens, Ryanview, SC 35541",2024-04-08
20,Michael,Dominguez,gabrielle74@example.com,"638 Kyle Centers, Barberton, IL 21632",2025-05-01
21,Alec,Zimmerman,hfox@example.org,"10668 Dennis Summit Apt. 092, Port Jasmine, PR 16699",2024-04-11
22,Hector,Dunn,paulaperez@example.net,"6077 James Grove, Hansenfort, CO 64025",2023-07-03
23,Kelsey,Carney,cookescott@example.com,"0151 James Stravenue Apt. 382, North Melissa, VI 44902",2023-10-06
24,Jason,Glenn,richard41@example.org,"20381 David Port Suite 660, North Rebeccaborough, IL 38112",2023-08-19
25,Tiffany,Coleman,mccartytiffany@example.net,"53434 King Curve, Lake Richardport, NV 67034",2023-10-01
26,Richard,Roy,jonathan33@example.com,"14744 Frank Loop, Mendozaberg, WY 71720",2025-04-07
27,Steven,Williams,angela98@example.com,"937 Kristen Islands, Katherineburgh, FL 08573",2024-06-27
28,Lucas,Boyle,tonya19@example.com,"17840 Michael Estates Suite 617, East Robertmouth, PA 03737",2023-12-30
29,Heather,King,lucasconnor@example.net,"45758 Curtis Crossing, Kelleyport, FM 23278",2025-04-22
